node3dId;physicalPositionId;levelId;x_mm;y_mm;z_relative_m;absoluteZ_m;aliases;structuralRole;chainMembership;levelPresence;evidenceRefs;derivationRule;epistemicStatus
N3D-0040;N009;G5;8485.1;10543.7;12.8;ND;N009;TERM;N009;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0041;N010;G1;42889.2;12616.6;0.0;ND;N010;JOINT;N010;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0042;N010;G2;42889.2;12616.6;3.2;ND;N010;JOINT;N010;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0043;N010;G3;42889.2;12616.6;6.4;ND;N010;JOINT;N010;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0044;N010;G4;42889.2;12616.6;9.6;ND;N010;JOINT;N010;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0045;N010;G5;42889.2;12616.6;12.8;ND;N010;JOINT;N010;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0046;N011;G1;23789.6;20627.2;0.0;ND;N011;JOINT;N011;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0047;N011;G2;23789.6;20627.2;3.2;ND;N011;JOINT;N011;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0048;N011;G3;23789.6;20627.2;6.4;ND;N011;JOINT;N011;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0049;N011;G4;23789.6;20627.2;9.6;ND;N011;JOINT;N011;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0050;N011;G5;23789.6;20627.2;12.8;ND;N011;JOINT;N011;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0051;N012;G1;22067.3;14484.3;0.0;ND;N012;TERM;N012;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0052;N012;G2;22067.3;14484.3;3.2;ND;N012;TERM;N012;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0053;N012;G3;22067.3;14484.3;6.4;ND;N012;TERM;N012;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0054;N012;G4;22067.3;14484.3;9.6;ND;N012;TERM;N012;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0055;N012;G5;22067.3;14484.3;12.8;ND;N012;TERM;N012;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0056;N013;G1;37611.4;7740.6;0.0;ND;N013;TERM;N013;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0057;N013;G2;37611.4;7740.6;3.2;ND;N013;TERM;N013;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0058;N013;G3;37611.4;7740.6;6.4;ND;N013;TERM;N013;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0059;N013;G4;37611.4;7740.6;9.6;ND;N013;TERM;N013;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0060;N013;G5;37611.4;7740.6;12.8;ND;N013;TERM;N013;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0061;N014;G1;19410.5;19408.2;0.0;ND;N014;LINE;N014;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0062;N014;G2;19410.5;19408.2;3.2;ND;N014;LINE;N014;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0063;N014;G3;19410.5;19408.2;6.4;ND;N014;LINE;N014;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0064;N014;G4;19410.5;19408.2;9.6;ND;N014;LINE;N014;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0065;N014;G5;19410.5;19408.2;12.8;ND;N014;LINE;N014;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0066;N015;G1;23823.6;19434.3;0.0;ND;N015;JOINT;N015;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0067;N015;G2;23823.6;19434.3;3.2;ND;N015;JOINT;N015;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0068;N015;G3;23823.6;19434.3;6.4;ND;N015;JOINT;N015;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0069;N015;G4;23823.6;19434.3;9.6;ND;N015;JOINT;N015;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0070;N015;G5;23823.6;19434.3;12.8;ND;N015;JOINT;N015;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0071;N016;G1;33106.9;9659.7;0.0;ND;N016;JOINT;N016;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0072;N016;G2;33106.9;9659.7;3.2;ND;N016;JOINT;N016;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0073;N016;G3;33106.9;9659.7;6.4;ND;N016;JOINT;N016;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0074;N016;G4;33106.9;9659.7;9.6;ND;N016;JOINT;N016;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
N3D-0075;N016;G5;33106.9;9659.7;12.8;ND;N016;JOINT;N016;DEMONSTRATED;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf|CATENE_VERTICALI_PILASTRI_v20.csv;VER;DOC
