memberId;node3d_bottom;node3d_top;physicalPositionId;level_bottom;level_top;length_m;section;evidenceRefs;epistemicStatus
VM-0024;N3D-0029;N3D-0030;N007;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0025;N3D-0031;N3D-0032;N008;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0026;N3D-0032;N3D-0033;N008;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0027;N3D-0033;N3D-0034;N008;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0028;N3D-0034;N3D-0035;N008;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0029;N3D-0036;N3D-0037;N009;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0030;N3D-0037;N3D-0038;N009;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0031;N3D-0038;N3D-0039;N009;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0032;N3D-0039;N3D-0040;N009;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0033;N3D-0041;N3D-0042;N010;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0034;N3D-0042;N3D-0043;N010;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0035;N3D-0043;N3D-0044;N010;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0036;N3D-0044;N3D-0045;N010;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0037;N3D-0046;N3D-0047;N011;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0038;N3D-0047;N3D-0048;N011;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0039;N3D-0048;N3D-0049;N011;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0040;N3D-0049;N3D-0050;N011;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0041;N3D-0051;N3D-0052;N012;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0042;N3D-0052;N3D-0053;N012;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0043;N3D-0053;N3D-0054;N012;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0044;N3D-0054;N3D-0055;N012;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0045;N3D-0056;N3D-0057;N013;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0046;N3D-0057;N3D-0058;N013;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0047;N3D-0058;N3D-0059;N013;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0048;N3D-0059;N3D-0060;N013;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0049;N3D-0061;N3D-0062;N014;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0050;N3D-0062;N3D-0063;N014;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0051;N3D-0063;N3D-0064;N014;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0052;N3D-0064;N3D-0065;N014;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0053;N3D-0066;N3D-0067;N015;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0054;N3D-0067;N3D-0068;N015;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0055;N3D-0068;N3D-0069;N015;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0056;N3D-0069;N3D-0070;N015;G4;G5;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0057;N3D-0071;N3D-0072;N016;G1;G2;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0058;N3D-0072;N3D-0073;N016;G2;G3;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
VM-0059;N3D-0073;N3D-0074;N016;G3;G4;3.2;ND;TAV20_ABACO_VERTICALE_PILASTRI_v22.dxf;VER
