entity_id,entity_type,x_global_m,y_global_m,section_cm,orientation_class,x_min_m,x_max_m,y_min_m,y_max_m,metric_evidence,master_status,analytical_node_count,analytical_nodes,node_registry,beam_registry
23,NUMBERED_PILLAR,5.2289,23.4000,110x30,110x30,4.6789,5.7789,23.2500,23.5500,MIS_AFFINE_EXTENDED,CURRENT_WITH_WATCH,2,"AN-059@EAST(5.7789,23.4000)[B-031]*;AN-067@SOUTH(5.0000,23.5500)[B-035]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
24,NUMBERED_PILLAR,5.0000,28.1000,40x50,40x50,4.8000,5.2000,27.8500,28.3500,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,2,"AN-063@EAST(5.2000,28.1000)[B-033];AN-068@NORTH(5.0000,27.8500)[B-035]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
25,NUMBERED_PILLAR,3.4500,8.9500,50x40,50x40,3.2000,3.7000,8.7500,9.1500,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,3,"AN-030@WEST(3.2000,8.9500)[B-015]*;AN-031@EAST(3.7000,8.9500)[B-016]*;AN-053@SOUTH(3.4500,9.1500)[B-027]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
26,NUMBERED_PILLAR,3.4500,15.2000,50x40,50x40,3.2000,3.7000,15.0000,15.4000,DOC_METRIC_OR_AXIS,CURRENT,4,"AN-036@WEST(3.2000,15.2000)[B-018];AN-037@EAST(3.7000,15.2000)[B-019];AN-054@NORTH(3.4500,15.0000)[B-027];AN-055@SOUTH(3.4500,15.4000)[B-028]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
27,NUMBERED_PILLAR,3.4500,19.2800,50x40,50x40,3.2000,3.7000,19.0800,19.4800,SUPPORTED_MIS_SHARED_ROW,CURRENT_WITH_WATCH,3,"AN-042@WEST(3.2000,19.2800)[B-021]*;AN-043@EAST(3.7000,19.2800)[B-022]*;AN-056@NORTH(3.4500,19.0800)[B-028]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
28,NUMBERED_PILLAR,0.0000,8.9500,50x40,50x40,-0.2500,0.2500,8.7500,9.1500,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,3,"AN-028@WEST(-0.2500,8.9500)[B-014];AN-029@EAST(0.2500,8.9500)[B-015]*;AN-049@SOUTH(0.0000,9.1500)[B-025]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
29,NUMBERED_PILLAR,0.0000,15.2000,50x40,50x40,-0.2500,0.2500,15.0000,15.4000,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,4,"AN-034@WEST(-0.2500,15.2000)[B-017];AN-035@EAST(0.2500,15.2000)[B-018];AN-050@NORTH(0.0000,15.0000)[B-025];AN-051@SOUTH(0.0000,15.4000)[B-026]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
30,NUMBERED_PILLAR,0.0000,19.7334,30x110,30x110,-0.1500,0.1500,19.1834,20.2834,SUPPORTED_REFERENCE_PLUS_MIS_EXTENDED,CURRENT_WITH_WATCH,3,"AN-040@WEST(-0.1500,20.1500)[B-020]*;AN-041@EAST(0.1500,19.2800)[B-021]*;AN-052@NORTH(0.0000,19.1834)[B-026]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
31,NUMBERED_PILLAR,-4.7000,8.9500,50x40,50x40,-4.9500,-4.4500,8.7500,9.1500,DOC_METRIC_OR_AXIS,CURRENT,2,"AN-027@EAST(-4.4500,8.9500)[B-014];AN-045@SOUTH(-4.7000,9.1500)[B-023]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
32,NUMBERED_PILLAR,-4.7000,15.2000,40x50,40x50,-4.9000,-4.5000,14.9500,15.4500,DOC_METRIC_OR_AXIS,CURRENT,3,"AN-033@EAST(-4.5000,15.2000)[B-017];AN-046@NORTH(-4.7000,14.9500)[B-023];AN-047@SOUTH(-4.7000,15.4500)[B-024]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
33,NUMBERED_PILLAR,-4.7000,20.1500,40x50,40x50,-4.9000,-4.5000,19.9000,20.4000,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,2,"AN-039@EAST(-4.5000,20.1500)[B-020]*;AN-048@NORTH(-4.7000,19.9000)[B-024]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
a,TERRACE_ADDED_PILLAR,3.4500,0.0000,30x30,30x30,3.3000,3.6000,-0.1500,0.1500,DOC_METRIC_OR_AXIS,CURRENT,2,"AN-002@WEST(3.3000,0.0000)[B-001];AN-003@EAST(3.6000,0.0000)[B-002]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
b,TERRACE_ADDED_PILLAR,3.4500,4.7000,30x30,30x30,3.3000,3.6000,4.5500,4.8500,DOC_METRIC_OR_AXIS,CURRENT_WITH_WATCH,2,"AN-010@WEST(3.3000,4.7000)[B-005];AN-011@EAST(3.6000,4.7000)[B-006]*",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
c,TERRACE_ADDED_PILLAR,0.0000,0.0000,30x30,30x30,-0.1500,0.1500,-0.1500,0.1500,DOC_METRIC_OR_AXIS,CURRENT,1,"AN-001@EAST(0.1500,0.0000)[B-001]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
d,TERRACE_ADDED_PILLAR,0.0000,4.7000,30x30,30x30,-0.1500,0.1500,4.5500,4.8500,DOC_METRIC_OR_AXIS,CURRENT,1,"AN-009@EAST(0.1500,4.7000)[B-005]",PT_ANALYTICAL_NODES_v1.csv,PT_VECTOR_BEAMS_v2.csv + PT_VECTOR_BEAMS_G6_PATCH_v1.csv
