n1;n2;x1_mm;y1_mm;x2_mm;y2_mm;len_mm;match_quality;evidence_status;source
N044;N056;37363.2;5554.1;37350.1;7740.6;2187.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N046;;22067.3;14223.1;22067.3;15045.9;823.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
;N098;21978.1;15307.1;23773.3;15307.1;1795.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
N052;N098;22205.6;15307.1;23773.3;15307.1;1568.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N098;N103;23773.3;15307.1;25892.9;15320.2;2120.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N098;N104;23773.3;15307.1;26154.2;15320.2;2381.0;HIGH;INF;TAV5_CARPENTERIA.dxf
;N099;22067.3;15045.9;23757.0;15052.4;1690.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
N099;N100;23757.0;15052.4;25892.9;15059.0;2136.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N099;N101;23757.0;15052.4;26154.2;15059.0;2397.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N057;;25962.6;5570.4;25971.3;2625.2;2945.0;UNMATCHED;INC;TAV5_CARPENTERIA.dxf
N058;N059;13096.7;1939.5;7812.3;1939.5;5284.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N058;N073;13096.7;1939.5;13096.7;1358.3;581.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N076;N095;13077.1;5612.8;13096.7;2762.3;2851.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N058;N095;13096.7;1939.5;13096.7;2762.3;823.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N061;N062;28636.4;25938.5;23724.3;25925.5;4912.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N062;N094;23724.3;25925.5;19308.7;25899.3;4416.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N066;N067;35233.7;23692.1;31138.1;23692.1;4096.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N070;N071;26167.3;11284.4;31699.9;11310.6;5533.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N071;N093;31699.9;11310.6;33084.7;11336.7;1385.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N092;N093;34358.4;11333.4;33084.7;11336.7;1274.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N070;N101;26167.3;11284.4;26154.2;15059.0;3775.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N070;N104;26167.3;11284.4;26154.2;15320.2;4036.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N072;N089;31732.6;10801.2;33104.3;10827.3;1372.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N086;N089;34365.0;10827.3;33104.3;10827.3;1261.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N086;N087;34365.0;10827.3;36500.9;10840.4;2136.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N086;N088;34365.0;10827.3;36775.3;10840.4;2410.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N079;N052;22235.0;20622.8;22205.6;15307.1;5316.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N081;N020;7812.3;98.0;7812.3;1567.3;1469.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N082;N083;34365.0;7379.3;33159.8;7379.3;1205.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N084;N114;36520.5;7425.0;37337.0;7470.7;818.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N082;N086;34365.0;7379.3;34365.0;10827.3;3448.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N086;N092;34365.0;10827.3;34358.4;11333.4;506.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N083;N096;33159.8;7379.3;26206.5;7314.0;6954.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N084;N115;36520.5;7425.0;37611.4;7470.7;1092.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N086;N091;34365.0;10827.3;34365.0;7875.6;2952.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N100;N111;25892.9;15059.0;25945.2;9651.8;5407.0;HIGH;INF;TAV5_CARPENTERIA.dxf
N103;N111;25892.9;15320.2;25945.2;9651.8;5669.0;HIGH;INF;TAV5_CARPENTERIA.dxf
