handle;layer;type;text;x;y
ED4;S-VERIFY-TEXT;TEXT;N041 [B];34169.2;18572.5
ED6;S-VERIFY-TEXT;TEXT;N020 [B];7982.3;1498.9
ED8;S-VERIFY-TEXT;TEXT;N021 [B];26402.6;3017.2
EDA;S-VERIFY-TEXT;TEXT;N023 [B];32634.1;25102.8
EDC;S-VERIFY-TEXT;TEXT;N026 [B];41174.8;13322.1
EDE;S-VERIFY-TEXT;TEXT;N027 [B];40864.5;13322.1
EE0;S-VERIFY-TEXT;TEXT;N032 [B];8655.1;10435.7
EE2;S-VERIFY-TEXT;TEXT;N037 [B];8655.1;9284.7
EE4;S-VERIFY-TEXT;TEXT;N038 [B];21973.9;14654.3
EE6;S-VERIFY-TEXT;TEXT;N056 [B];37520.1;7910.6
EE8;S-VERIFY-TEXT;TEXT;N057 [B];26132.6;5740.4
EEA;S-VERIFY-TEXT;TEXT;N046 [B];22237.3;14393.1
EEC;S-VERIFY-TEXT;TEXT;N047 [B];38007.8;18598.6
EEE;S-VERIFY-TEXT;TEXT;N048 [B];8655.1;9826.2
EF0;S-VERIFY-TEXT;TEXT;N049 [B];31902.6;9808.8
EF2;S-VERIFY-TEXT;TEXT;N050 [B];35926.3;13592.0
EF4;S-VERIFY-TEXT;TEXT;N051 [B];35442.9;13592.0
EF6;S-VERIFY-TEXT;TEXT;N052 [B];22148.1;15477.1
EF8;S-VERIFY-TEXT;TEXT;N053 [B];22237.3;15215.9
EFA;S-VERIFY-TEXT;TEXT;N054 [B];8655.1;8755.2
EFC;S-VERIFY-TEXT;TEXT;N055 [C];8655.1;11019.1
F2B;S-CHECK-VER;TEXT;v1.3 PRIORITA' DI VERIFICA: A=prima lettura TAV7/TAV6, B=seconda, C=successiva. Priorita' non equivale ad affidabilita' DOC.;1800.0;2850.0
F2F;S-PIL-A-TEXT;TEXT;A01/N001/ES;33314.7;12170.4
F31;S-PIL-A-TEXT;TEXT;A02/N002/ES;36730.9;12193.9
F33;S-PIL-A-TEXT;TEXT;A03/N005/ES;36740.7;7799.7
F35;S-PIL-A-TEXT;TEXT;A04/N006/ES;33389.8;5496.1
F37;S-PIL-A-TEXT;TEXT;A05/N007/ES;32005.0;5496.1
F39;S-PIL-A-TEXT;TEXT;A06/N003/ON;24006.6;25611.2
F3B;S-PIL-A-TEXT;TEXT;A07/N008/ES;31939.7;12111.3
F3D;S-PIL-A-TEXT;TEXT;A08/N004/EN;31760.1;23639.0
F3F;S-PIL-A-TEXT;TEXT;A09/N009/OS;8715.1;10503.7
F41;S-PIL-A-TEXT;TEXT;A10/N010/ES;43119.2;12576.6
F43;S-PIL-A-TEXT;TEXT;A11/N011/ON;24019.6;20587.2
F45;S-PIL-A-TEXT;TEXT;A12/N012/OS;22297.3;14444.3
F47;S-PIL-A-TEXT;TEXT;A13/N013/ES;37841.4;7700.6
F49;S-PIL-A-TEXT;TEXT;A14/N015/ON;24053.6;19394.3
F4B;S-PIL-A-TEXT;TEXT;A15/N016/ES;33336.9;9619.7
F4D;S-PIL-A-TEXT;TEXT;A16/N014/ON;19640.5;19368.2
F4F;S-PIL-A-TEXT;TEXT;A17/N017/EN;28968.3;19407.4
F51;S-PIL-A-TEXT;TEXT;A18/N028/EN;38092.9;19590.2
F53;S-PIL-A-TEXT;TEXT;A19/N035/EN;28957.8;20622.0
F55;S-PIL-A-TEXT;TEXT;A20/N031/EN;43112.7;18414.7
F57;S-PIL-A-TEXT;TEXT;A21/N033/ES;36730.9;13342.3
F59;S-PIL-A-TEXT;TEXT;A22/N039/EN;43112.7;19603.3
F5B;S-PIL-A-TEXT;TEXT;A23/N040/EN;34229.2;19564.1
