dxf_index;node_id;x_mm;y_mm;topo_class;pil_assoc;elem_id;evidence_status;source
AB2;N104;26154.2;15320.2;;;;INC;TAV5_CARPENTERIA.dxf
AB4;N105;45397.5;23757.4;;;;INC;TAV5_CARPENTERIA.dxf
AB6;N106;43248.5;19666.1;;A22/N039/EN;;INC;TAV5_CARPENTERIA.dxf
AB8;N020;7812.3;1567.3;;;P?020;INF;TAV5_CARPENTERIA.dxf
ABA;N108;17309.9;20609.8;;;;INC;TAV5_CARPENTERIA.dxf
ABC;N109;32725.4;18402.5;;;;INC;TAV5_CARPENTERIA.dxf
ABE;N002;36762.2;12303.2;;A02/N002/ES;;INF;TAV5_CARPENTERIA.dxf
AC0;N111;25945.2;9651.8;;;;INC;TAV5_CARPENTERIA.dxf
AC2;N112;26193.4;9651.8;;;;INC;TAV5_CARPENTERIA.dxf
AC4;N113;26219.5;5501.8;;;;INC;TAV5_CARPENTERIA.dxf
AC6;N114;37337.0;7470.7;;;;INC;TAV5_CARPENTERIA.dxf
AC8;N115;37611.4;7470.7;;;;INC;TAV5_CARPENTERIA.dxf
ACA;N116;45449.8;12368.5;;;;INC;TAV5_CARPENTERIA.dxf
